Sample;Density;ModulusOfElasticity;PoissonsRatio
Corning Polarcor™ UltraThin™ Glass Polarizer, 1060 nm Nominal Wavelength;2.41;58.6;0.21
Corning Polarcor™ UltraThin™ Glass Polarizer, 1310 nm Nominal Wavelength;2.41;58.6;0.21
Corning Polarcor™ UltraThin™ Glass Polarizer, 1550 nm Nominal Wavelength;2.41;58.6;0.21
Corning Lotus™ NXT Display Glass;2.59;83.0;0.23
Corning Astra™ Alkaline Earth Boro-Aluminosilicate Display Glass;2.52;81.0;0.23
Corning Eagle XG Slim Display Glass;2.38;73.6;0.23
Ferro Aluminum Oxide P890;3.57;293.0;0.21
Ferro Aluminum Oxide P3640;3.67;276.0;0.21
Ferro Aluminum Oxide P3142;3.7;318.0;0.21
Ferro Aluminum Oxide P96;3.75;310.0;0.25
Ferro Zirmonite 200, ZTA;4.48;278.0;0.22
S-2 Glass Fiber;2.46;86.9;0.23
S-Glass Fiber, Generic;2.49;86.2;0.22
AGY ZenTron S-2 Generic S-Glass Fiber;2.46;86.9;0.22
AGY VeTron Glass Fiber;2.5;86.0;0.22
CoorsTek Mullite, S2;2.8;150.0;0.25
Mateck Cesium Iodide, CsI;4.51;2.0;0.214
Mateck Calcium Fluoride (CaF2);3.18;117.95;0.216
Mateck Glass (BK7 Schott or analogous);2.51;81.0;0.206
Mateck Sodium Chloride (NaCl);2.17;38.2;0.203
Mateck Zero Expansion Glass - ZERODUR;2.53;91.0;0.24
Materion Durox 997 99.7% Al2O3;3.9;375.0;0.22
Materion Durox AL 99.8% Al2O3;3.94;375.0;0.22
Materion Durox UHP 99.9% Al2O3;3.95;375.0;0.22
Microplasmic Anodizing [Ceramic Coating] for Aluminum, Magnesium, Titanium, Zirconium & Composites;3.8;277.0;0.21
Morgan Advanced Ceramics AN 985 Mac-AN 985W Technical Ceramic;3.3;310.0;0.21
Morgan Advanced Ceramics ZTA Mac-ZTAA20W Technical Ceramic;4.32;350.0;0.24
Morgan Advanced Ceramics Sintox™ FA Ballistic Mac-A950R Technical Ceramic;3.74;320.0;0.23
Morgan Advanced Ceramics Sintox™CL Mac-A986R Technical Ceramic;3.89;380.0;0.25
Piezo Kinetics PKI 556 Lead Zirconate Titanate Piezoelectric;7.8;58.0;0.22
Piezo Kinetics PKI 804 Navy Type III Lead Zirconate Titanate Piezoelectric;7.7;73.0;0.25
Schott N-FK5 Glass;2.45;62.0;0.232
Schott N-PSK3 Glass;2.91;84.0;0.226
Schott N-BK7 Glass;2.51;82.0;0.206
Schott N-BK10 Glass;2.39;71.0;0.203
Schott K7 Glass;2.53;69.0;0.214
Schott N-K5 Glass;2.59;71.0;0.224
Schott N-ZK7 Glass;2.49;70.0;0.214
Schott N-BAK2 Glass;2.86;71.0;0.233
Schott N-BAK4 Glass;3.05;77.0;0.24
Schott N-SK11 Glass;3.08;79.0;0.239
Schott P-SK57 Glass;3.01;93.0;0.249
Schott N-KF9 Glass;2.5;66.0;0.225
Schott N-BALF4 Glass;3.11;77.0;0.245
Schott N-BALF5 Glass;2.61;81.0;0.214
Schott LLF1 Glass;2.94;60.0;0.208
Schott N-BAF4 Glass;2.89;85.0;0.231
Schott N-BAF52 Glass;3.05;86.0;0.237
Schott LF5 Glass;3.22;59.0;0.223
Schott F2 Glass;3.6;57.0;0.22
Schott F2HT Glass;3.6;57.0;0.22
Schott F5 Glass;3.47;58.0;0.22
Schott N-F2 Glass;2.65;82.0;0.228
Schott N-BASF2 Glass;3.15;84.0;0.247
Schott N-SF1 Glass;3.03;90.0;0.25
Schott N-SF2 Glass;2.72;86.0;0.231
Schott N-SF5 Glass;2.86;87.0;0.237
Schott N-SF8 Glass;2.9;88.0;0.245
Schott N-SF15 Glass;2.92;90.0;0.243
Schott P-SF67 Glass;4.24;90.0;0.248
Schott SF1 Glass;4.46;56.0;0.232
Schott SF2 Glass;3.86;55.0;0.227
